userId,itemId,rating
AV9E7SJWU0PQ9,1480360295,4.0
A3CEV9KBYLPK2L,1480360295,3.0
ATZFZONPLXQJN,1480360295,5.0
A2ZPY4IM17L09F,1480360295,4.0
AUKVM8TXMBUR5,1480360295,5.0
A2T2PJ8BWUO7D,1480360295,4.0
A1IVXL7131OOIW,1480360295,5.0
A3DMRLRVT0KRTE,1480360295,3.0
A2053ZJUGCKUA5,1480360295,1.0
A3NPETMZXGIG65,1480360295,1.0
AX71EDWGK5ND5,1480360295,5.0
A1UYHCCPQKH6GN,1480360295,3.0
AVOFQL8D5NLUO,1480360295,4.0
A11FWGZDJHCKAY,1480360295,2.0
A1K3LPKZN4OZ66,1480360295,2.0
A14O27AIZCIZEG,1480360295,1.0
A15UON6342H4YU,1480360295,5.0
A3D6VWDWBNIDAA,1480360295,3.0
A1OCUKI8ZBUVX3,1480360295,4.0
A2RLQKE9NHSSZB,1480360295,5.0
A1S0NIJ5PDREYV,1480360295,5.0
AU36YCQBO0NY7,1480360295,5.0
A1Q8KRGN5G048F,1603113703,5.0
A17BUUBOU0598B,B00001W0DT,4.0
A2XXBZPQT5EXHV,B00001W0DT,4.0
A1JBUBTQ48ITN4,B00001W0DT,4.0
A6FIAB28IS79,B00001W0DT,4.0
A29MJ4O2EZTG0P,B00004TT3S,5.0
A2GX6DZPHMW9BQ,B00004UE29,5.0
A17V6IWPTMUXXY,B00004UE29,5.0
ADVTR7YAZ0TFN,B00004UE29,3.0
A14GQSDDHH5V6E,B00004UE29,5.0
A21U2CZHHWYWAH,B00004UE29,5.0
A3H7KRFR3680XE,B00004UE29,3.0
A1NX6ENN9VUZ6T,B00004UE29,5.0
A1SSL7MB5QADDD,B00004UE29,5.0
A3AD9PRDBV9IUD,B00004UE29,5.0
A1949E61IXT41X,B00004UE29,5.0
A3L59H0CYLJUYG,B00004UE29,5.0
ATLCEY1YIP1DG,B00004UE29,5.0
A3EWG5C5KW5W9C,B00004UE29,5.0
A1R0798K5DDQZP,B00004UE29,5.0
A3BGNMN5CT7F2B,B00004UE29,5.0
A13XJ1DFRLW3LY,B00005ML71,5.0
A21Z503L1HHSKR,B00005ML71,5.0
A1I15EY2DOJRKY,B00005ML71,4.0
A3O0W9SZVY17ZC,B00005ML71,5.0
AT6RATFH81KVH,B00005ML71,5.0
A1RIX9KTY2KG96,B00005ML71,4.0
A1R53AIIG40UBJ,B00005ML71,4.0
A2V4J1HSCDDW0U,B00005ML71,5.0
AGC6BBHEYOT8K,B00005ML71,5.0
A3NKV30HNK25VI,B00005ML71,3.0
A3DBZMIQMMZJEN,B00005ML71,5.0
A2G3VQU2GRN8BU,B00005ML71,5.0
A1U7RNEQX9DLZV,B00005ML71,5.0
AH6BWZKE4FQ01,B00005ML71,5.0
A1R3RPMROBAR01,B00005ML71,4.0
A2UW915RDEZREP,B00005ML71,5.0
A25WGC1PNEPM2M,B00005ML71,4.0
A9TLNLPNXF28C,B00005ML71,5.0
AF5E8PZW3H8J7,B00005ML71,4.0
A3FL7GYZZ1YQK3,B00005ML71,5.0
A1MB6GXVWV3E43,B00005ML71,1.0
A32KO9M79A1HB,B00005ML71,5.0
ATJN91PH28F6T,B00005ML71,5.0
AS2N5EDUL6YEY,B00005ML71,5.0
A34UD1PL8B83A4,B00005ML71,3.0
A2ZUMLDC86M9PT,B00005ML71,5.0
A2XP1F29W6TIZO,B00005ML71,1.0
A377VYDXWRN4BN,B00005ML71,5.0
A19HYTAPU7POPV,B00005ML71,5.0
AZTEA5GWYELFY,B00005ML71,5.0
AQ6JVC5F7G24S,B00005ML71,5.0
AGIFQISOUTQTG,B00005ML71,2.0
ADH9KILY58UCK,B00005ML71,5.0
A1MHPGANXXGLC8,B00005ML71,4.0
A1OOYK17XC8MV9,B00005ML71,5.0
A15MM78R3WY34F,B00005ML71,5.0
ATQ4LG9IWXXNA,B00005ML71,5.0
A2T4AIDPSFBRMC,B00005ML71,5.0
A3IFOLF8FTNX25,B00005ML71,5.0
A3OG56ZWOWP027,B00005ML71,5.0
A1Q7B47R1VWLWT,B00005ML71,5.0
A10ZZKL69LGS3W,B00005ML71,5.0
A1SF3I4QT74OKX,B00005ML71,3.0
A14L6SW9OJES8W,B00005ML71,5.0
AFL06IE3OGA2N,B00005ML71,5.0
A54JYLX8TY2ST,B00005ML71,5.0
A1RG5QX08POZIP,B00005ML71,5.0
A3V5LZJGW2NT8B,B00005ML71,5.0
A21U2CZHHWYWAH,B00005ML71,3.0
A2USZZ4Z0U6P1S,B00005ML71,5.0
A23T2F1BNPKNFY,B00005ML71,5.0
