userId,itemId,rating
ABXMSM9FQ3L54,B0000222X0,5.0
ASHKZADM38FZY,B0000222X0,5.0
A23FZ9T87YQDWX,B0000222X0,5.0
A20IG57D8MTCSK,B0000222X0,5.0
AVKN33PLGIUBI,B0000222X0,5.0
A1THUMJ11003WZ,B0000222X0,5.0
A1MG36AY1P8OSK,B0000222X0,5.0
A32UVU47R1KXCJ,B0000222X0,5.0
A53OHUEVKIWLS,B0000222X0,4.0
A3SS4LSH1TKY5J,B0000222X0,5.0
A18WSTFDAF2391,B0000222X0,5.0
A2EVO0EL3WB6HO,B0000222X0,5.0
ALX5YTXMB9QV5,B0000222X0,5.0
A2PB93OF2M6UNM,B0000222X0,5.0
A1053TBGTIEQ8V,B0000222X0,4.0
AQFIU93PHXRF4,B0000222X0,4.0
A2VURO65CTPUKN,B0000222X0,5.0
AJBO8EU9DHZ9C,B0000222X0,5.0
A1C09SL7N2FH5B,B0000222X0,2.0
AGBM4IIL7HS7,B0000222X0,5.0
A37MGDKOB963E7,B00002232W,4.0
A3B0WK4W4XH54D,B00002232W,5.0
A10GWGBM0IA0Q,B00002232W,5.0
A3MDRUXBMOCUH6,B00002232W,5.0
A183XN1WTON9I0,B00002232W,5.0
A32DWYFABEN6K0,B00002232W,5.0
AQPGVFRAWYFTS,B00002232W,5.0
A22X68L900QE1Q,B00002232W,5.0
A1R42G8S6JIOEI,B00002232W,3.0
A2O7CJ74PZK8X5,B00002232W,5.0
AXNZEGVAVISGN,B00002232W,5.0
A250RU6TSUYTJF,B00002232W,4.0
A9HFK3UYR94AF,B00002232W,5.0
A15DEDDB5L2SWH,B00002232W,5.0
A29R4E1S0T2KH2,B00002232W,5.0
A2OQ8CB7DZ7XL5,B00002232W,5.0
A2BZBGGO5MUH5B,B00002232W,5.0
A2RW35AHDNAHVH,B00002232W,5.0
A3RT1T5QI8MLNC,B00002232W,4.0
A14XK91BJ4SAFK,B00002232W,5.0
A17CFTF37V37M2,B00002232W,2.0
A1660JZPHFX90N,B00002232W,5.0
A2A2YHWS3RQJ9W,B00002232W,3.0
A2HRZFF7OV955A,B00002232W,5.0
A27YDOZXSXJTYA,B00002232W,5.0
A3J18C4T2JWI2F,B00002232W,5.0
A31698WARABSD8,B00002232W,4.0
A313A8XCJYE79T,B00002232W,5.0
A3CI8U9MMGRRPT,B00002232W,5.0
A32UJ87I6YGQMJ,B00002232W,5.0
A8PS6YTA2Y0UX,B00002232W,2.0
A35GMMSUPSAY5H,B00002232S,5.0
A29962YZGR73YN,B00002232S,5.0
A37CQY2C76IP5N,B00002232S,5.0
A2A3ZKEQ0CPAKH,B00002232S,5.0
A1E0RW9F27TFI5,B00002232S,5.0
A318DRANGQCO04,B00002232S,5.0
A36N3GMS29JXAW,B00002232S,5.0
ANER03PXJGHYL,B00002232S,5.0
A283P189BT5YUL,B00002232S,5.0
AD5XM3XO4U0EV,B00002232S,5.0
A20YMARO1FI619,B00002232S,5.0
A1W6QE59WQCCTY,B00002231J,3.0
A2Q2GU12DR2DD5,B00002231J,5.0
A2MGTV2LP27Z7K,B00002232S,4.0
A3LKJ0Y9WPTD49,B00002232S,4.0
A11R7SBXZGHCFG,B00002232S,5.0
A2OMPXZ1H7LCJP,B00002232S,5.0
A3GA1W6ZO09FN5,B00002231J,5.0
A3I8N6OHM5DS4Q,B00002232S,5.0
A1K1651IORVYA1,B00002231J,5.0
A2OB533I9U19K1,B00002232S,5.0
ANER03PXJGHYL,B00002231J,1.0
A13X3KB8XPS0ZX,B00002231J,5.0
A2UEH0U5CV3053,B00002232S,4.0
ABHYYOD5F78GF,B00002232S,5.0
AC4A4QXXRDYEF,B00002232S,5.0
A30Y7M0Q0L60EF,B00002232S,5.0
A1V2HFSMZL3CUN,B00002232S,5.0
A3CN9M7GGK0F9E,B00002231J,5.0
A1DIPVFBDL4W6R,B00002232S,4.0
A1RNX0XRPOHHZF,B00002232S,2.0
A2JH13U593OLMR,B00002232S,5.0
A3PU3EDJ2FG1AW,B00002232S,5.0
A32QLWM37QPRYF,B00002231J,5.0
A313A8XCJYE79T,B00002232S,5.0
A8PS6YTA2Y0UX,B00002232S,2.0
ANFJYYQ0P35CW,B00002232S,4.0
A3KDRLIBWILPMJ,B00002232S,4.0
A2HH22URVI2HDJ,B00002231J,2.0
A31WOST3LOT5TG,B00002232S,5.0
A5UEJECI2GJEX,B00002232S,5.0
A2H7EU7ABHL5G7,B00002232S,5.0
A2RIVXHVKBQLSJ,B00002231J,4.0
A2QR9IXLMIDL5U,B00002231J,5.0
A2SSID2UEEDSP4,B00002231J,3.0
A3BHI3T9ZCJ2LE,B0000223YJ,4.0
A3HN8616HPV1LR,B0000223YJ,3.0
A1Z9EMZHIH849F,B0000223YJ,5.0
